번호,문제,보기1,보기2,보기3,보기4,정답
53,연면적이 500m2 이상인 위험물 제조소 및 일반취급소에 설 치하여야 하는 경보설비는?,자동화재탐지설비,확성장치,비상경보설비,비상방송설비,1
54,방염처리업의 종류가 아닌 것은?,섬유류 방염업,합성수지류 방염업,합판·목재류 방염업,실내장식물류 방염업,4
55,"특정소방대상물의 관계인이 소방안전관리자를 해임한 경우 재선임 신고를 해야 하는 기준은? (단, 해임한 날부터를 기 준일로 한다.)",10일 이내,20일 이내,30일 이내,40일 이내,3
56,소방시설공사업자의 시공능력평가 방법에 대한 설명 중 틀 린 것은?,시공능력평가액은 실적평가액 + 자본금평가액 + 기술력 평가액 + 경력평가액 ± 신인도평가액 으로 산출한다.,신인도평가액 산정 시 최근 1년간 국가기관으로부터 우 수시공업자로 선정된 경우에는 3% 가산 한다.,신인도평가액 산정 시 최근 1년간 부도가 발생된 사실이 있는 경우에는 2%를 감산한다.,실적평가액은 최근 5년간의 연평균공사실적액을 의미한 다.,4
57,자동화재탐지설비를 설치하여야 하는 특정소방대상물의 기 준으로 틀린 것은?,지하구,지하가 중 터널로서 길이 700m 이상인 것,교정시설로서 연면적 2000m2 이상인 것,복합건축물로서 연면적 600m2 이상인 것,2
58,소방시설공사의 착공신고 시 첨부서류가 아닌 것은?,공사업자의 소방시설공사업 등록증 사본,공사업자의 소방시설공사업 등록수첩 사본,해당 소방시설공사의 책임시공 및 기술관리를 하는 기술 인력의 기술등급을 증명하는 서류 사본,해당 소방시설을 설계한 기술인력자의 기술자격증 사본,4
59,소방시설의 자체점검에 관한 설명으로 옳지 않은 것은?,작동기능점검은 소방시설 등을 인위적으로 조작하여 정 상적으로 작동하는 것을 점검하는 것이다.,종합정밀점검은 설비별 주요 구성부품의 구조기준이 화 재안전기준 및 관련 법령에 적합한지 여부를 점검하는 것이다.,종합정밀점검에는 작동기능점검의 사항이 해당되지 않는 다.,종합정밀점검은 소방시설관리사가 참여한 경우 소방시설 관리업자 또는 소방안전관리자로 선임된 소방시설관리사 소방기술사 1명 이상을 점검자로 한다.,3
60,시·도지사가 설치하고 유지·관리하여야 하는 소방용수시설이 아닌 것은?,저수조,상수도,소화전,급수탑 4과목 : 소방기계시설의 구조 및 원리,2
61,"옥외소화전의 구조 등에 관한 설명으로 틀린 것은?(문제 오 류로 가답안 발표시 1번으로 발표되었지만 확정답안 발표시 1, 4번이 정답 처리 되었습니다. 여기서는 1번을 누르면 정 답 처리 됩니다. 자세한 내용은 해설을 참고하세요.)",지하용 소화전의 유효단면적은 밸브시트 단면적의 120% 이상이다.,밸브를 완전히 열 때 밸브의 개폐높이는 밸브시트 지름 의 1/4 이상이어야 한다.,지상용 소화전 토출구의 방향은 수평에서 아랫방향으로 30˚ 이내이어야 한다.,"지상용 소화전은 지면으로부터 길이 600mm 이상 매몰 되고, 450mm 이상 노출될 수 있는 구조이어야 한다.",1
62,스프링클러헤드의 감도를 반응시간지수(RTI)값에 따라 구분 할 때 RTI값이 51 초과 80 이하일 때의 헤드 감도는?,Fast response,Speical response,Standard response,Quick response,2
63,"물분무소화설비 가압송수장치의 1분당 토출량에 대한 최소 기준으로 옳은 것은? (단, 특수가연물 저장 취급하는 특정소 방대상물 및 차고 주차장의 바닥면적은 50m2이하인 경우는 50m2를 적용한다.)",차고 또는 주차장의 바닥면적 1m2 당 10L를 곱한 양 이 상,특수가연물을 저장·취급하는 특정소방대상물의 바닥면적 1m2 당 20L를 곱한 양 이상,"케이블 트레이, 케이블 덕트는 투영된 바닥면적 1m2 당 10L를 곱한 양 이상",절연유 봉입 변압기는 바닥면적을 제외한 표면적을 합한 면적 1m2당 10L를 곱한 양 이상,4
64,펌프의 토출관에 압입기를 설치하여 포소화약제 압입용펌프 로 포 소화약제를 압입시켜 혼합하는 방식은?,라인 푸로포셔너방식,펌프 푸로포셔너방식,프레져 푸로포셔너방식,프레져사이드 프로포셔너방식,4
65,액화천연가스(LNG)를 사용하는 아파트 주방에 주방용 자동 소화장치를 설치할 경우 탐지부의 설치위치로 옳은 것은?,바닥 면으로부터 30cm 이하의 위치,천장 면으로부터 30cm 이하의 위치,가스차단장치로부터 30cm 이상의 위치,소화약제 분사 노즐로부터 30cm 이상의 위치,2
66,연소방지설비의 설치기준에 대한 설명 중 틀린 것은?,연소방지설비전용헤드를 2개 설치하는 경우 배관의 구경 은 40mm 이상으로 한다.,수평주행배관의 구경은 100mm 이상으로 한다.,수평주행배관은 헤드를 향하여 1/200 이상의 기울기로 한다.,연소방지설비 전용헤드의 경우 방수헤드간의 수평거리는 2m 이하로 한다.,3
67,경사강하식구조대의 구조에 대한 설명으로 틀린 것은?,구조대 본체는 강하방향으로 봉합부가 설치되어야 한다.,입구틀 및 취부틀의 입구는 지름 50cm 이상의 구체가 통과할 수 있어야 한다.,손잡이는 출구부근에 좌우 각3개 이상 균일한 간격으로 견고하게 부착하여야 한다.,구조대 본체의 활강부는 낙하방지를 위해 포를 2중 구조 로 하거나 또는 망목의 변의 길이가 8cm 이하인 망을 설치하여야 한다.,1
68,제연방식에 의한 분류 중 아래의 장·단점에 해당하는 방식 은?,제1종 기계제연방식,제2종 기계제연방식,제3종 기계제연방식,밀폐방연방식,3
69,분말소화설비에서 사용하지 않는 밸브는?,드라이밸브,클리닝밸브,안전밸브,배기밸브,1
70,스프링클러설비 또는 옥내소화전설비에 사용되는 밸브에 대 한 설명으로 옳지 않은 것은?,펌프의 토출측 체크밸브는 배관 내 압력이 가압송수장치 로 역류되는 것을 방지한다.,가압송수장치의 후드밸브는 펌프의 위치가 수원의 수위 보다 높을 때 설치한다.,입상관에 사용하는 스윙체크밸브는 아래에서 위로 송수 하는 경우에만 사용된다.,펌프의 흡입측배관에는 버터플라이밸브의 개폐표시형밸 브를 설치하여야 한다.,4
71,"바닥면적이 400m2 미만이고 예상제연구역이 벽으로 구획되 어 있는 배출구의 설치위치로 옳은 것은? (단, 통로인 예상 제연구역을 제외한다.)",천장 또는 반자와 바닥사이의 중간 윗부분,천장 또는 반자와 바닥사이의 중간 아래 부분,"천장, 반자 또는 이에 가까운 부분",천장 또는 반자와 바닥사이의 중간 부분,1
72,"17층의 사무소 건축물로 11층 이상에 쌍구형 방수구가 설치 된 경우, 14층에 설치된 방수 기구함에 요구되는 길이 15m 의 호수 및 방사형 관창의 설치 개수는?","호스는 5개 이상, 방사형 관창은 2개 이상","호스는 3개 이상, 방사형 관창은 1개 이상","호스는 단구형 방수구의 2배 이상의 개수, 방사형 관창 은 2개 이상","호스는 단구형 방수구의 2배 이상의 개수, 방사형 관창 은 1개 이상",3
73,이산화탄소 소화설비에서 방출되는 가스압력을 이용하여 배 기덕트를 차단하는 장치는?,방화셔터,피스톤릴리져댐퍼,가스체크밸브,방화댐퍼,2
74,피난기구의 설치 및 유지에 관한 사항 중 옳지 않은 것은?,피난기구를 설치하는 개구부는 서로 동일직선상의 위치 에 있을 것,설치장소에는 피난기구의 위치를 표시하는 발광식 또는 축광식 표지와 그 사용방법을 표시한 표지를 부착할 것,피난기구는 소방대상물의 기둥 바닥 보 기타 구조상 견 고한 부분에 볼튼조임·매입·용접 기타의 방법으로 견고하 게 부착할 것,피난기구는 계단·피난기구 기타 피난시설로부터 적당한 거리에 있는 안전한 구조로 된 피난 또는 소화활동상 유 효한 개구부에 고정하여 설치할 것,1
75,특고압의 전기시설을 보호하기 위한 수계소화설비로 물분무 소화설비의 사용이 가능한 주된 이유는?,물분무소화설비는 다른 물 소화설비에 비해서 신속한 소 화를 보여주기 때문이다.,물분무소화설비는 다른 물 소화설비에 비해서 물의 소모 량이 적기 때문이다.,분무상태의 물은 전기적으로 비전도성이기 때문이다.,물분무입자 역시 물이므로 전기전도성이 있으나 전기 시 설물을 젖게 하지 않기 때문이다.,3
76,포소화약제의 저장량 계산 시 가장 먼 탱크 까지의 송액관 에 충전하기 위한 필요량을 계산에 반영하지 않는 경우는?,송액관의 내경이 75mm 이하인 경우,송액관의 내경이 80mm 이하인 경우,송액관의 내경이 85mm 이하인 경우,송액관의 내경이 100mm 이하인 경우,1
77,( ) 안에 들어갈 내용으로 알맞은 것은?,"ㄱ : 0℃ 이상, ㄴ : 4Mpa","ㄱ : -18℃ 이이하, ㄴ : 2.1Mpa","ㄱ : 20℃ 이하, ㄴ : 2Mpa","ㄱ : 40℃ 이하, ㄴ : 2.1Mpa",2
78,분말소화설비 배관의 설치기준으로 옳지 않은 것은?,배관은 전용으로 할 것,배관은 모두 스케쥴 40 이상으로 할 것,동관을 사용할 경우는 고정압력 또는 최고사용압력의 1.5배 이상의 압력에 견딜 수 있는 것으로 할것,밸브류는 개폐위치 또는 개폐방향을 표시한것으로 할것,2
79,스프링클러설비 배관의 설치기준으로 틀린 것은?,급수배관의 구경은 25mm 이상으로 한다.,수직배수관의 구경은 50mm 이상으로 한다.,지하매설배관은 소방용 합성수지 배관으로 설치할 수 있 다.,교차배관의 최소구경은 65mm 이상으로 한다.,4
80,소화기구의 소화약제별 적응성 중 C급 화재에 적응성이 없 는 소화약제는?,마른 모래,청정 소화약제,이산화탄소 소화약제,중탄산염류 소화약제,1
