번호,문제,보기1,보기2,보기3,보기4,정답
40,"그림에서 물과 기름의 표면은 대기에 개방되어 있고, 물과 기름 표면의 높이가 같을 때 h는 약 몇 m 인가? (단, 기름 의 비중은 0.8, 액체 A의 비중은 1.6이다.)",1,1.1,1.125,1.25 3과목 : 소방관계법규,3
41,다음은 소방기본법령상 소방본부에 대한 설명이다. ( ) 에 알맞은 내용은?,경찰서장,시·도지사,행정안전부장관,소방청장,2
42,위험물안전관리법령상 제4류 위험물을 저장·취급하는 제조 소에 “화기엄금”이란 주의사항을 표시하는 게시판을 설치할 경우 게시판의 색상은?,청색바탕에 백색문자,적색바탕에 백색문자,백색바탕에 적색문자,백색바탕에 흑색문자,2
43,소방시설공사업법령상 소방시설업의 등록을 하지 아니하고 영업을 한 자에 대한 벌칙기준으로 옳은 것은?,1년 이하의 징역 또는 1천만원 이하의 벌금,2년 이하의 징역 또는 2천만원 이하의 벌금,3년 이하의 징역 또는 3천만원 이하의 벌금,5년 이하의 징역 또는 5천만원 이하의 벌금,3
44,위험물안전관리법령상 유별을 달리하는 위험물을 혼재하여 저장할 수 있는 것으로 짝지어진 것은?,제1류－제2류,제2류－제3류,제3류－제4류,제5류－제6류,3
45,소방기본법령상 상업지역에 소방용수시설 설치 시 소방대상 물 과의 수평거리 기준은 몇 m 이하인가?,100,120,140,160,1
46,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 종합정밀점검 실시 대상이 되는 특정소방대상물의 기준 중 다음 ( ) 안에 알맞은 것은?",2000,3000,4000,5000,4
47,다음 소방기본법령상 용어 정의에 대한 설명으로 옳은 것 은?,"소방대상물이란 건축물, 차량, 선박(항구에 매어둔 선박 은 제외) 등을 말한다.",관계인이란 소방대상물의 점유예정자를 포함한다.,"소방대란 소방공무원, 의무소방원, 의용소방대원으로 구 성된 조직체이다.","소방대장이란 화재, 재난·재해, 그 밖의 위급한 상황이 발생한 현장에서 소방대를 지휘하는 사람(소방서장은 제 외)이다.",3
48,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 공동 소방안전관리자를 선임하여야 하는 특정소방대상물 중 고층 건축물은 지하층을 제외한 층수가 최소 몇 층 이상인 건축물만 해당되는가?",6층,11층,20층,30층,2
49,"소방기본법령상 특수가연물의 저장 및 취급의 기준 중 ( )에 들어갈 내용으로 옳은 것은? (단, 석탄·목탄류의 경우는 제 외한다.)","㉠ 15, ㉡ 200","㉠ 15, ㉡ 300","㉠ 10, ㉡ 30","㉠ 10, ㉡ 50",4
50,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 자동화재탐지설비를 설치하여야 하는 특정소방대상물의 기 준으로 틀린 것은?",공장 및 창고시설로서 「소방기본법 시행령」에서 정하 는 수량의 500배 이상의 특수가연물을 저장·취급하는 것,지하가(터널은 제외한다)로서 연면적 600m2 이상인 것,숙박시설이 있는 수련시설로서 수용인원 100명 이상인 것,장례시설 및 복합건축물로서 연면적 600m2 이상인 것,2
51,위험물안전관리법령에서 정하는 제3류 위험물에 해당하는 것은?,나트륨,염소산염류,무기과산화물,유기과산화물,1
52,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 방염성능기준 이상의 실내장식물 등을 설치하여야 하는 특 정소방대상물이 아닌 것은?",방송국,종합병원,11층 이상의 아파트,숙박이 가능한 수련시설,3
53,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 무창층으로 판정하기 위한 개구부가 갖추어야 할 요건으로 틀린 것은?",크기는 반지름 30㎝ 이상의 원이 내접할 수 있을 것,해당 층의 바닥면으로부터 개구부 밑부분까지 높이가 1.2m 이내일 것,도로 또는 차량이 진입할 수 있는 빈터를 향할 것,화재 시 건축물로부터 쉽게 피난할 수 있도록 창살이나 그 밖의 장애물이 설치되지 아니할 것,1
54,"소방시설공사업법령상 일반 소방시설설계업(기계분야)의 영 업범위에 대한 기준 중 ( )에 알맞은 내용은? (단, 공장의 경우는 제외한다.)",10000,20000,30000,50000,3
55,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 건축허가 등을 할 때 미리 소방본부장 또는 소방서장의 동 의를 받아야 하는 건축물 등의 범위기준이 아닌 것은?",노유자시설 및 수련시설로서 연면적 100m2 이상인 건축 물,지하층 또는 무창층이 있는 건축물로서 바닥면적이 150m2 이상인 층이 있는 것,차고·주차장으로 사용되는 바닥면적이 200m2 이상인 층 이 있는 건축물이나 주차시설,장애인 의료재활시설로서 연면적 300m2 이상인 건축물,1
56,다음 중 소방기본법령에 따라 화재예방상 필요하다고 인정 되거나 화재위험경보시 발령하는 소방신호의 종류로 옳은 것은?,경계신호,발화신호,경보신호,훈련신호,1
57,소방기본법령상 보일러 등의 위치·구조 및 관리와 화재예방 을 위하여 불의 사용에 있어서 지켜야 하는 사항 중 보일러 에 경유·등유 등 액체연료를 사용하는 경우에 연료탱크는 보일러본체로부터 수평거리 최소 몇 m 이상의 간격을 두어 설치해야 하는가?,0.5,0.6,1,2,3
58,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 “대통령령으로 정하는 특정소방대상물”의 관계인은 그 장소 에 상시 근무하거나 거주하는 사람에게 소방훈련과 소방안 전관리에 필요한 교육을 하여야 한다. 다음 “대통령령으로 정하는 특정소방대상물”에 대한 설명 중 ( )에 알맞은 내용 은?",3,5,7,10,4
59,"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법령상 제조 또는 가공 공정에서 방염처리를 한 물품 중 방염대상 물품이 아닌 것은?",카펫,전시용 합판,창문에 설치하는 커튼류,두께가 2mm 미만인 종이벽지,4
60,위험물안전관리법령상 관계인이 예방규정을 정하여야 하는 위험물 제조소등에 해당하지 않는 것은?,지정수량 10배의 특수인화물을 취급하는 일반취급소,지정수량 20배의 휘발유를 고정된 탱크에 주입하는 일반 취급소,지정수량 40배의 제3석유류를 용기에 옮겨 담는 일반취 급소,지정수량 15배의 알코올을 버너에 소비하는 장치로 이루 어진 일반취급소 4과목 : 소방기계시설의 구조 및 원리,3
61,할론소화설비의 화재안전기준에 따른 할론소화설비의 수동 식 기동장치의 설치기준으로 틀린 것은?,국소방출방식은 방호대상물마다 설치할 것,기동장치의 방출용스위치는 음향경보장치와 개별적으로 조작될 수 있는 것으로 할 것,전기를 사용하는 기동장치에는 전원표시등을 설치할 것,조작부는 바닥으로부터 높이 0.8m 이상 1.5m 이하의 위 치에 설치할 것,2
62,미분무소화설비의 화재안전기준에 따라 최저사용압력이 몇 MPa를 초과할 때 고압 미분무소화설비로 분류하는가?,1.2,2.5,3.5,4.2,3
63,피난기구의 화재안전기준에 따른 피난기구의 설치 및 유지 에 관한 사항 중 틀린 것은?,피난기구를 설치하는 개구부는 서로 동일직선상의 위치 에 있을 것,설치장소에는 피난기구의 위치를 표시하는 발광식 또는 축광식표지와 그 사용방법을 표시한 표지를 부착할 것,피난기구는 소방대상물의 기둥·바닥·보 기타 구조상 견고 한 부분에 볼트조임·매입·용접 기타의 방법으로 견고하게 부착할 것,피난기구는 계단·피난구 기타 피난시설로부터 적당한 거 리에 있는 안전한 구조로 된 피난 또는 소화활동상 유효 한 개구부에 고정하여 설치할 것,1
64,"이산화탄소소화설비의 화재안전기준에 따라 케이블실에 전 역방출방식으로 이산화탄소소화설비를 설치하고자 한다. 방 호구역 체적은 750m3, 개구부의 면적은 3m2이고, 개구부에 는 자동폐쇄장치가 설치되어 있지 않다. 이때 필요한 소화 약제의 양은 최소 몇 ㎏ 이상인가?",930,1005,1230,1530,2
65,다음 중 피난기구의 화재안전기준에 따라 의료시설에 구조 대를 설치하여야 할 층은?,지하 2층,지하 1층,지상 1층,지상 3층,4
66,화재안전기준상 물계통의 소화설비 중 펌프의 성능시험배관 에 사용되는 유량측정장치는 펌프의 정격 토출량의 몇 % 이상 측정할 수 있는 성능이 있어야 하는가?,65,100,120,175,4
67,"피난기구의 화재안전기준상 근린생활시설 지하층에 적응성 이 있는 피난기구는? (단, 근린생활시설 중 입원실이 있는 의원·접골원·조산원에 한한다.)",피난용트랩,미끄럼대,구조대,피난교,1
68,제연설비의 화재안전기준에 따른 배출풍도의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 15, ㉡ 10","㉠ 10, ㉡ 15","㉠ 20, ㉡ 15","㉠ 15, ㉡ 20",4
69,스프링클러헤드에서 이융성 금속으로 융착되거나 이융성 물 질에 의하여 조립된 것은?,프레임(frame),디플렉터(deflector),유리벌브(glass bulb),퓨지블링크(fusible link),4
70,포소화설비의 화재안전기준상 특수가연물을 저장·취급하는 공장 또는 창고에 적응성이 없는 포소화설비는?,고정포방출설비,포소화전설비,압축공기포소화설비,포워터스프링클러설비,2
71,분말소화설비의 화재안전기준상 자동화재탐지설비의 감지기 의 작동과 연동하는 분말소화설비 자동식 기동장치의 설치 기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 3, ㉡ 2.5","㉠ 7, ㉡ 2.5","㉠ 3, ㉡ 25","㉠ 7, ㉡ 25",4
72,분말소화설비의 화재안전기준상 분말소화약제의 가압용가스 용기에 대한 설명으로 틀린 것은?,가압용가스 용기를 3병 이상 설치한 경우에는 2개 이상 의 용기에 전자개방밸브를 부착할 것,가압용가스 용기에는 2.5MPa 이하의 압력에서 조정이 가능한 압력조정기를 설치할 것,가압용가스에 질소가스를 사용하는 것의 질소가스는 소 화 약제 1㎏마다 20L(35℃에서 1기압의 압력상태로 환 산한 것) 이상으로 할 것,축압용가스에 질소가스를 사용하는 것의 질소가스는 소 화 약제 1㎏에 대하여 10L(35℃에서 1기압의 압력상태 로 환산한 것) 이상으로 할 것,3
73,화재조기진압용 스프링클러설비 가지배관 사이의 거리 기준 으로 옳은 것은?(2022년 12월 01일 변경된 규정 적용됨),2.4m 이상 3.1m 이하,2.4m 이상 3.7m 이하,6.0m 이상 8.5m 이하,6.0m 이상 9.3m 이하,2
74,포소화설비에서 펌프의 토출관에 압입기를 설치하여 포소화 약제 압입용 펌프로 포소화약제를 압입시켜 혼합하는 방식 은?,라인 프로포셔너,펌프 프로포셔너,프레져 프로포셔너,프레져사이드 프로포셔너,4
75,스프링클러설비의 화재안전기준상 스프링클러설비의 배관 내 사용압력이 몇 MPa 이상일 때 압력배관용 탄소강관을 사용해야 하는가?,0.1,0.5,0.8,1.2,4
76,지하구의 화재안전기준에 따라 연소방지설비전용헤드를 사 용할 때 배관의 구경이 65mm인 경우 하나의 배관에 부착 하는 살수헤드의 최대 개수로 옳은 것은?,2,3,5,6,3
77,지하구의 화재안전기준에 따른 지하구의 통합감시시설 설치 기준으로 틀린 것은?,소방관서와 지하구의 통제실 간에 화재 등 소방활동과 관련된 정보를 상시 교환할 수 있는 정보통신망을 구축 할 것,수신기는 방재실과 공동구의 입구 및 연소방지설비 송수 구가 설치된 장소(지상)에 설치할 것,정보통신망(무선통신망 포함)은 광케이블 또는 이와 유사 한 성능을 가진 선로일 것,"수신기는 화재신호, 경보, 발화지점 등 수신기에 표시되 는 정보가 기준에 적합한 방식으로 119상황실이 있는 관 할 소방관서의 정보통신장치에 표시되도록 할 것",2
78,소화수조 및 저수조의 화재안전기준에 따라 소화용수설비에 설치하는 채수구의 지면으로부터 설치 높이 기준은?,0.3m 이상 1m 이하,0.3m 이상 1.5m 이하,0.5m 이상 1m 이하,0.5m 이상 1.5m 이하,3
79,다음은 물분무소화설비의 화재안전기준에 따른 수원의 저수 량 기준이다. ( )에 들어갈 내용으로 옳은 것은?,10,12,15,20,1
80,제연설비의 화재안전기준상 제연설비 설치장소의 제연구역 구획 기준으로 틀린 것은?,하나의 제연구역의 면적은 1000m2 이내로 할 것,하나의 제연구역은 직경 60m 원내에 들어갈 수 있을 것,하나의 제연구역은 3개 이상 층에 미치지 아니하도록 할 것,통로상의 제연구역은 보행중심선의 길이가 60m를 초과 하지 아니할 것,3
