번호,문제,보기1,보기2,보기3,보기4,정답
42,소방기본법령상 위험물 또는 물건의 보관기간은 소방본부 또는 소방서의 게시판에 공고 하는 기간의 종료일 다음 날 부터 며칠로 하는가?,3,4,5,7,4
43,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 스프링클러설비를 설치하여야 하는 특정소방대상물의 기준 중 틀린 것은?(단, 위험물 저장 및 처리 시설 중 가스시설 또는 지하구는 제외한다.)",숙박이 가능한 수련시설 용도로 사용되는 시설의 바닥면 적의 합계가 600m2 이상인 것은 모든 층,창고시설(물류터미널은 제외)로서 바닥면적 합계가 5000m2 이상인 경우에는 모든 층,"판매시설, 운수시설 및 창고시설(물류터미널에 한정)로서 바닥면적의 합계가 5000m2 이상이거나 수용인원이 500 명 이상인 경우에는 모든 층",복합건축물로서 연면적이 3000m2 이상인 경우에는 모든 층,4
44,"소방기본법상 소방본부장, 소방서장 또는 소방대장의 권한 이 아닌 것은?","화재, 재난·재해, 그 밖의 위급한 상황이 발생한 현장에 서 소방활동을 위하여 필요할 때에는 그 관할구역에 사 는 사람 또는 그 현장에 있는 사람으로 하여금 사람을 구출하는 일 또는 불을 끄거나 불이 번지지 아니하도록 하는 일을 하게 할 수 있다.",소방활동을 할 때에 긴급한 경우에는 이웃한 소방본부장 또는 소방서장에게 소방업무의 응원을 요청할 수 있다.,사람을 구출하거나 불이 번지는 것을 막기 위하여 필요 할 때에는 화재가 발생하거나 불이 번질 우려가 있는 소 방대상물 및 토지를 일시적으로 사용하거나 그 사용의 제한 또는 소방활동에 필요한 처분을 할 수 있다.,소방활동을 위하여 긴급하게 출동할 때에는 소방자동차 의 통행과 소방활동에 방해가 되는 주차 또는 정차된 차 량 및 물건 등을 제거하거나 이동시킬 수 있다.,2
45,위험물안전관리법상 지정수량 미만인 위험물의 저장 또는 취급에 관한 기술상의 기준은 무엇으로 정하는가?,대통령령,총리령,시ㆍ도의 조례,행정안전부령,3
46,위험물안전관리법상 업무상 과실로 제조소등에서 위험물을 유출ㆍ방출 또는 확산시켜 사람의 생명ㆍ신체 또는 재산에 대하여 위험을 발생시킨 자에 대한 벌칙 기준으로 옳은 것 은?,5년 이하의 금고 또는 2000만원 이하의 벌금,5년 이하의 금고 또는 7000만원 이하의 벌금,7년 이하의 금고 또는 2000만원 이하의 벌금,7년 이하의 금고 또는 7000만원 이하의 벌금,4
47,소방기본법상 소방활동구역의 설정권자로 옳은 것은?,소방본부장,소방서장,소방대장,시·도지사,3
48,소방기본법령상 소방용수시설별 설치기준 중 틀린 것은?,급수탑 개폐밸브는 지상에서 1.5m 이상 1.7m 이하의 위 치에 설치하도록 할 것,"소화전은 상수도와 연결하여 지하식 또는 지상식의 구조 로 하고, 소방용호스와 연결하는 소화전의 연결금속구의 구경은 100mm로 할 것","저수조 흡수관의 투입구가 사각형의 경우에는 한 변의 길이가 60cm 이상, 원형의 경우에는 지름이 60cm 이상 일 것",저수조는 지면으로부터의 낙차가 4.5m 이하일 것,2
49,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법상 특정소방대상물에 소방시설이 화재안전기준에 따라 설치 또 는 유지ㆍ관리 되어 있지 아니할 때 해당 특정소방대상물의 관계인에게 필요한 조치를 명할 수 있는 자는?",소방본부장,소방청장,시·도지사,행정안전부장관,1
50,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법상 소방안전관리대상물의 소방안전 관리자 업무가 아닌 것은? (문제 오류로 실제 시험장에서는 모두 정답 처리 되었습니 다. 여기서는 가답안인 3번을 누르면 정답 처리 됩니다.)",소방훈련 및 교육,자위소방대 및 초기대응체계의 구성·운영·교육,"피난시설, 방화구획 및 방화시설의 유지·관리",피난계획에 관한 사항과 대통령령으로 정하는 사항이 포 함된 소방계획서의 작성 및 시행,3
51,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 소방안전관리대상물의 소방계획서에 포함되어야 하는 사항 이 아닌 것은?",예방규정을 정하는 제조소등의 위험물 저장·취급에 관한 사항,소방시설·피난시설 및 방화시설의 점검·정비계획,특정소방대상물의 근무자 및 거주자의 자위소방대 조직 과 대원의 임무에 관한 사항,"방화구획, 제연구획, 건축물의 내부 마감 재료(불연재료· 준불연재료 또는 난연재료로 사용된 것) 및 방염물품의 사용현황과 그 밖의 방화구조 및 설비의 유지·관리계획",1
52,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법상 소방시설등에 대한 자체점검을 하지 아니하거나 관리업자 등으로 하여금 정기적으로 점검하게 하지 아니한 자에 대한 벌칙 기준으로 옳은 것은?",6개월 이하의 징역 또는 1000만원 이하의 벌금,1년 이하의 징역 또는 1000만원 이하의 벌금,3년 이하의 징역 또는 1500만원 이하의 벌금,3년 이하의 징역 또는 3000만원 이하의 벌금,2
53,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법령상 소방용품이 아닌 것은?",소화약제 외의 것을 이용한 간이소화용구,자동소화장치,가스누설경보기,소화용으로 사용하는 방염제,1
54,소방기본법령상 소방본부 종합상황실 실장이 소방청의 종합 상황실에 서면ㆍ모사전송 또는 컴퓨터통신 등으로 보고하여 야 하는 화재의 기중 중 틀린 것은?,항구에 매어둔 총 톤수가 1000톤 이상인 선박에서 발생 한 화재,층수가 5층 이상이거나 병상이 30개 이상인 종합병원·정 신병원·한방병원·요양소에서 발생한 화재,지정수량의 1000배 이상의 위험물의 제조소·저장소·취급 소에서 발생한 화재,연면적 15000m2 이상인 공장 또는 화재경계지구에서 발 생한 화재,3
55,위험물안전관리법령상 위험물의 안전관리와 관련된 업무를 수행하는 자로서 소방청장이 실시하는 안전교육대상자가 아 닌 것은?,안전관리자로 선임된 자,탱크시험자의 기술인력으로 종사하는 자,위험물운송자로 종사하는 자,제조소등의 관계인,4
56,소방공사업법령상 공사감리자 지정대상 특정 소방대상물의 범위가 아닌 것은?,캐비닛형 간이스프링클러설비를 신설·개설하거나 방호·방 수 구역을 증설할 때,물분무등소화설비(호스릴 방식의 소화설비는 제외)를 신 설·개설하거나 방호·방수구역을 증설할 때,제연설비를 신설·개설하거나 제연구역을 증설할 때,연소방지설비를 신설·개설하거나 살수구역을 증설할 때,1
57,위험물안전관리법상 위험물시설의 설치 및 변경 등에 관한 기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 1, ㉡ 행정안전부령, ㉢ 시·도지사","㉠ 1, ㉡ 대통령령, ㉢ 소방본부장·소방서장","㉠ 14, ㉡ 행정안전부령, ㉢ 시·도지사","㉠ 14, ㉡ 대통령령, ㉢ 소방본부장·소방서장",1
58,"화재예방, 소방시설 설치ㆍ유지 및 안전관리에 관한 법상 특정소방대상물의 피난시설, 방화 구획 또는 방화시설의 폐 쇄ㆍ훼손ㆍ변경 등의 행위를 한 자에 대한 과태료 기준으로 옳은 것은?",200만원의 이하의 과태료,300만원의 이하의 과태료,500만원의 이하의 과태료,600만원의 이하의 과태료,2
59,"소방기본법령상 특수가연물의 저장 및 취급 기준 중 다음 ( ) 안에 알맞은 것은?(단, 석탄ㆍ목탄류를 발전용으로 저장하 는 경우는 제외한다.)","㉠10, ㉡30","㉠10, ㉡50","㉠15, ㉡100","㉠15, ㉡200",4
60,소방시설공사업법령상 상주 공사감리 대상 기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 10000, ㉡ 11, ㉢ 600","㉠ 10000, ㉡ 16 ㉢ 500","㉠ 30000, ㉡ 11, ㉢ 600","㉠ 30000, ㉡ 16, ㉢ 500 4과목 : 소방기계시설의 구조 및 원리",4
61,"전역방출방식의 분말소화설비에 있어서 방호구역의 용적이 500m3일 때 적합한 분사헤드의 수는? (단, 제1종 분말이며, 체적 1m3당 소화약제의 양은 0.60kg이며, 분사헤드 1개의 분당 표준 방사량은 18kg이다.)",17개,30개,34개,134개,3
62,이산화탄소 소화약제의 저장용기 설치기준 중 옳은 것은?,"저장용기의 충전비는 고압식은 1.9 이상 2.3 이하, 저압 식은 1.5 이상 1.9 이하로 할 것",저압식 저장용기에는 액면계 및 압력계와 2.1MPa 이상 1.9MPa 이하의 압력에서 작동하는 압력경보장치를 설치 할 것,"저장용기 고압식은 25MPa 이상, 저압식은 3.5MPa 이상 의 내압시험압력에 합격한 것으로 할 것",저압식 저장용기에는 내압시험압력의 1.8배의 압력에서 작동하는 안전밸브와 내압시험압력의 0.8배로부터 내압 시험압력에서 작동하는 봉판을 설치할 것,3
63,화재 시 연기가 찰 우려가 없는 장소로서 호스릴분말소화설 비를 설치할 수 있는 기준중 다음 ( ) 안에 알맞은 것은?,"㉠ 15, ㉡ 1/5","㉠ 15, ㉡ 1/2 ","㉠ 20, ㉡ 1/5","㉠ 20, ㉡ 1/2",1
64,소화수조의 소요수량이 20m3 이상 40m3 미만인 경우 설치 하여야 하는 채수구의 개수로 옳은 것은?,1개,2개,3개,4개,1
65,건축물에 설치하는 연결살수설비 헤드의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 3.7, ㉡ 2.3, ㉢ 2.1","㉠ 3.7, ㉡ 2.1, ㉢ 2.3","㉠ 2.3, ㉡ 3.7, ㉢ 2.3","㉠ 2.3, ㉡ 3.7, ㉢ 2.1",1
66,"포소화설비의 자동식 기동장치를 폐쇄형 스프링클러헤드의 개방과 연동하여 가압송수장치ㆍ일제 개방밸브 및 포 소화 약제 혼합장치를 기동하는 경우의 설치 기준 중 다음 ( )안 에 알맞은 것은?(단, 자동화재탐지설비의 수신기가 설치된 장소에 상시 사람이 근무하고 있고, 화재 시 즉시 해당 조 작부를 작동시킬 수 있는 경우는 제외한다.)","㉠ 79, ㉡ 8","㉠ 121, ㉡ 8","㉠ 79, ㉡ 20","㉠ 121, ㉡ 20",3
67,스프링클러설비 가압송수장치의 설치기준 중 고가수조를 이 용한 가압송수장치에 설치하지 않아도 되는 것은?,수위계,배수관,오버플로우관,압력계,4
68,특별피난계단의 계단실 및 부속실 제연설비의 차압 등에 관 한 기준 중 다음 ( ) 안에 알맞은 것은?,12.5,40,70,110,4
69,완강기의 최대사용자수 기준 중 다음 ( ) 안에 알맞은 것은?,250,500,750,1500,4
70,화재조기진압용 스프링클러설비 가지배관의 배열기준 중 천 장의 높이가 9.1m 이상 13.7m 이하인 경우 가지배관 사이 의 거리 기준으로 옳은 것은?,2.4m 이상 3.1m 이하,2.4m 이상 3.7m 이하,6.0m 이상 8.5m 이하,6.0m 이상 9.3m 이하,1
71,스프링클러설비 헤드의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 10, ㉡ 60","㉠ 30, ㉡ 10","㉠ 60, ㉡ 10","㉠ 90, ㉡ 60",3
72,포 소화약제의 혼합장치에 대한 설명 중 옳은 것은?,"라인 푸로포셔너방식 이란 펌프의 토출관과 흡입관 사이 의 배관 도중에 설치한 흡입기에 펌프에서 토출된 물의 일부를 보내고, 농도 조절밸브에서 조정된 포 소화약제 의 필요량을 포 소화약제 탱크에서 펌프 흡입측으로 보 내어 이를 혼합하는 방식을 말한다.",프레져사이드 푸로포셔너방식 이란 펌프의 토출관에 압 입기를 설치하여 포 소화약제 압입용펌프로 포 소화약제 를 압입시켜 혼합하는 방식을 말한다.,프레져 푸로포셔너방식 이란 펌프와 발포기 중간에 설치 된 벤추리관의 벤추리작용에 따라 포 소화약제를 흡입· 혼합하는 방식을 말한다.,펌프 푸로포셔너방식 이란 펌프와 발포기의 중간에 설치 된 벤추리관의 벤추리작용과 펌프 가압수의 포 소화약제 저장탱크에 대한 압력에 따라 포 소화약제를 흡입·혼합 하는 방식을 말한다.,2
73,전동기 또는 내연기관에 따른 펌프를 이용하는 옥외소화전 설비의 가압송수장치의 설치 기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 0.17, ㉡ 350","㉠ 0.25, ㉡ 350","㉠ 0.17, ㉡ 130","㉠ 0.25, ㉡ 130",2
74,미분무소화설비 용어의 정의 중 다음 ( ) 안에 알맞은 것은?,"㉠ 400, ㉡ A,B,C","㉠ 400, ㉡ B,C","㉠ 200, ㉡ A,B,C","㉠ 200, ㉡ B,C",1
75,소화기구의 소화약제별 적응성 중 C급 화재에 적응성이 없 는 소화약제는?,마른 모래,청정소화약제,이산화탄소 소화약제,중탄산염류 소화약제,1
76,소화약제 외의 것을 이용한 간이소화용구의 능력단위 기준 중 다음 ( ) 안에 알맞은 것은?,0.5,1,3,5,1
77,다음과 같은 소방대상물의 부분에 완강기를 설치할 경우 부 착 금속구의 부착위치로서 가장 적합한 위치는?,A,B,C,D,4
78,연소방지설비의 배관의 설치기준 중 다음 ( ) 안에 알맞은 것은?(관련 규정 개정전 문제로 여기서는 기존 정답인 2번 을 누르면 정답 처리됩니다. 자세한 내용은 해설을 참고하 세요.),2/100,1/1000,1/100,1/500,2
79,상수도소화용수설비의 소화전은 특정소방대상물의 수평투영 면의 각 부분으로부터 몇 m이하가 되도록 설치하여야 하는 가?,200,140,100,70,2
80,이산화탄소 소화약제 저압식 저장용기의 충전비로 옳은 것 은?,0.9이상 1.1이하,1.1이상 1.4이하,1.4이상 1.7이하,1.5이상 1.9이하,2
