번호,문제,보기1,보기2,보기3,보기4,정답
53,스프링클러설비가 설치된 소방시설 등의 자체점검에서 종합 정밀점검을 받아야 하는 아파트의 기준으로 옳은 것은?(관 련 규정 개정전 문제로 여기서는 기존 정답인 3번을 누르면 정답 처리됩니다. 자세한 내용은 해설을 참고하세요.),연면적이 3000m2 이상이고 층수가 11층 이상인 것만 해 당,연면적이 3000m2 이상이고 층수가 16층 이상인 것만 해 당,연면적이 5000m2 이상이고 층수가 11층 이상인 것만 해 당,연면적이 5000m2 이상이고 층수가 16층 이상인 것만 해 당,3
54,위험물안전관리자로 선임할 수 있는 위험물 취급자격자가 취급할 수 있는 위험물 기준으로 틀린 것은?,위험물기능장 자격 취득자 : 모든 위험물,안전관리자 교육이수자 : 위험물 중 제4류 위험물,소방공무원으로 근무한 경력이 3년 이상인 자 : 위험물 중 제4류 위험물,위험물산업기사 자격 취득자 : 위험물 중 제4류 위험물,4
55,다음 중 과태료 대상이 아닌 것은?,소방안전관리대상물의 소방안전관리자를 선임하지 아니 한 자,소방안전관리 업무를 수행하지 아니한 자,특정소방대상물의 근무자 및 거주자에 대한 소방훈련 및 교육을 하지 아니한 자,특정소방대상물 소방시설 등의 점검결과를 보고하지 아 니한 자,1
56,"화재의 예방조치 등과 관련하여 불장난, 모닥불, 흡연, 화기 취급, 그 밖에 화재예방상 위험하다고 인정되는 행위의 금 지 또는 제한의 명령을 할 수 있는 자는?",시·도지사,국무총리,소방청장,소방본부장,4
57,시·도지사가 소방시설업의 영업정지처분에 갈음하여 부과할 수 있는 최대 과징금의 범위로 옳은 것은?(관련 규정 개정 전 문제로 여기서는 기존 정답인 3번을 누르면 정답 처리됩 니다. 자세한 내용은 해설을 참고하세요.),1000만 원 이하,2000만 원 이하,3000만 원 이하,5000만 원 이하,3
58,화재경계지구의 지정대상이 아닌 것은?,공장·창고가 밀집한 지역,목조건물이 밀집한 지역,농촌지역,시장지역,3
59,"1급 소방안전관리대상물에 대한 기준이 아닌 것은? (단, 동· 식물원, 철강 등 불연성 물품을 저장·취급하는 창고, 위험물 저장 및 처리 시설 중 위험물 제조소등, 지하구를 제외한 것이다.)",연면적 15000m2 이상인 특정소방대상물 (아파트는 제 외),150세대 이상으로서 승강기가 설치된 공동주택,가연성가스를 1000톤 이상 저장·취급하는 시설,30층 이상(지하층은 제외)이거나 지상으로부터 높이가 120m 이상인 아파트,2
60,2급 소방안전관리대상물의 소방안전관리자 선임 기준으로 틀린 것은?,전기공사산업기사 자격을 가진 자,소방공무원으로 3년 이상 근무한 경력이 있는지,의용소방대원으로 2년 이상 근무한 경력이 있는 자,위험물산업기사 자격을 가진 자 4과목 : 소방기계시설의 구조 및 원리,3
61,분말소화약제의 가압용가스 또는 축압용 가스의 설치기준 중 틀린 것은?,가압용가스에 이산화탄소를 사용하는 것의 이산화탄소는 소화약제 1kg에 대하여 20g에 배관의 청소에 필요한 양 을 가산한 양 이상으로 할 것,가압용가스에 질소가스를 사용하는 것의 질소가스는 소 화약제 1kg마다 40L (35℃에서 1기압의 압력상태로 환 산한 것) 이상으로 할 것,축압용 가스에 이산화탄소를 사용하는 것의 이산화탄소 는 소화약제 1kg에 대하여 20g에 배관의 청소에 필요한 양을 가산한 양 이상으로 할 것,축압용 가스에 질소가스를 사용하는 것의 질소가스는 소 화약제 1kg에 대하여 40L(35℃에서 1기압의 압력상태로 환산한 것) 이상으로 할 것,4
62,소화기에 호스를 부착하지 아니할 수 있는 기준 중 옳은 것 은?,소화약제의 중량이 2kg 미만인 이산화탄소 소화기,소화약제의 중량이 3L 미만의 액체계 소화약제 소화기,소화약제의 중량이 3kg 미만인 할로겐화물 소화기,소화약제의 중량이 4kg 미만의 분말 소화기,2
63,경사강하식 구조대의 구조 기준 중 틀린 것은?,구조대 본체는 강하방향으로 봉합부가 설치되어야 한다.,손잡이는 출구부근에 좌우 각 3개 이상 균일한 간격으로 견고하게 부착하여야 한다.,"구조대본체의 끝부분에는 길이 4m 이상, 지름4 mm 이 상의 유도선을 부착하여야 하며, 유도선 끝에는 중량 3N(300g ) 이상의 모래주머니 등을 설치하여야 한다.",본체의 포지는 하부지지장치에 인장력이 균등하게 걸리 도록 부착하여야하며 하부지지장치는 쉽게 조작할 수 있 어야 한다.,1
64,옥내소화전설비 배관과 배관이음쇠의 설치기준중 배관 내 사용압력이 1.2MPa 미만일 경우에 사용하는 것이 아닌 것 은?,배관용탄소강관(KS D 3507),배관용 스테인리스강관(KS D 3576),덕타일 주철관(KS D 4311),배관용 아크용접 탄소강강관(KS D 3583),4
65,"특정소방대상물에 따라 적응하는 포소화설비의 설치기준 중 발전기실, 엔진펌프실, 변압기, 전기케이블실, 유압설비 바 닥면적의 합계가 300m2 미만의 장소에 설치 할 수 있는 것 은?",포헤드설비,호스릴포소화설비,포워터스프링클러설비,고정식 압축공기포소화설비,4
66,소화수조가 옥상 또는 옥탑의 부분에 설치된 경우에는 지상 에 설치된 채수구에서의 압력이 최소 몇 MPa 이상이 되도 록 하여야 하는가?,0.1,0.15,0.17,0.25,2
67,차고 또는 주차장에 설치하는 분말소화설비 의소화약제로 옳은 것은?,제1종 분말,제2종 분말,제3종 분말,제4종 분말,3
68,스프링클러헤드의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 1.7, ㉡ 15","㉠ 2.5, ㉡ 15","㉠ 1.7, ㉡ 25","㉠ 2.5, ㉡ 25",2
69,연소방지설비 방수헤드의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 2, ㉡ 1.5","㉠ 1.5, ㉡ 2","㉠ 1.7, ㉡ 2.5","㉠ 2.5, ㉡ 1.7",1
70,완강기와 간이완강기를 소방대상물에 고정 설치해 줄 수 있 는 지지대의 강도시험 기준 중 ( ) 안에 알맞은 것은?,250,750,1500,5000,4
71,상수도 소화용수설비의 설치기준 중 다음 ( ) 안에 알맞은 것은?,"㉠ 65, ㉡ 100, ㉢ 120","㉠ 65, ㉡ 100, ㉢ 140","㉠ 75, ㉡ 100, ㉢ 120","㉠ 75, ㉡ 100, ㉢ 140",4
72,물분무소화설비를 설치하는 차고 또는 주차장의 배수설비 설치기준 중 틀린 것은?,차량이 주차하는 장소의 적당한 곳에 높이 10㎝ 이상 경 계턱으로 배수구를 설치할 것,"배수구에는 새어나온 기름을 모아 소화할 수 있도록 길 이 30m 이하마다 집수관, 소화핏트 등 기름분리장치를 설치할 것",차량이 주차하는 바닥은 배수구를 향하여 100분의 2 이 상의 기울기를 유지할 것,배수설비는 가압송수장치의 최대송수능력의 수량을 유효 하게 배수할 수 있는 크기 및 기울기로 할 것,2
73,청정소화약제소화설비를 설치한 특정소방 대상물 또는 그 부분에 대한 자동폐쇄장치의 설치기준 중 다음 ( ) 안에 알 맞은 것은?,"㉠ 1, ㉡ 3분의 2","㉠ 2, ㉡ 3분의 2","㉠ 1, ㉡ 2분의 1","㉠ 2, ㉡ 2분의 1",1
74,"특별피난계단의 계단실 및 부속실 제연설비의 비상전원은 제연설비를 유효하게 최소 몇 분 이상 작동할 수 있도록 하 여야 하는가? (단, 층수가 30층 이상 49층 이하인 경우이 다.)",20,30,40,60,3
75,스프링클러헤드를 설치하는 천장·반자·천장과 반자사이·덕 트·선반 등의 각 부분으로부터 하나의 스프링클러헤드까지 의 수평거리 기준으로 틀린 것은?,무대부에 있어서는 1.7m 이하,랙크식 창고에 있어서는 2.5m 이하,공동주택(아파트) 세대 내의 거실에 있어서는 3.2m 이하,특수가연물을 저장 또는 취급하는 장소에 있어서 는 2.1m 이하,4
76,소화약제 외의 것을 이용한 간이소화용구의 능력단위 기준 중 다음 ( )안에 알맞은 것은?,"㉠ 80, ㉡ 50","㉠ 50, ㉡ 160","㉠ 100, ㉡ 80","㉠ 100, ㉡ 160",1
77,물분무헤드를 설치하지 아니할 수 있는 장소의 기준 중 다 음 ( ) 안에 알맞은 것은?,160,200,260,300,3
78,"청정소화약제 저장용기의 설치장소 기준 중 다음 ( ) 안에 알맞은 것은?(문제 출제 당시는 청정소화약제 명칭을 사용 하였으나 추후 명칭이 변경되었습니다. 기존 명칭이 ""청정소 화약제""인데 명칭으로 보면 인체무해한 약제라는 의미를 내 포하기 때문에 ""할로겐화합물 및 불활성기체""로 변경됨)",40,55,60,75,2
79,포 소화약제의 저장량 설치기준 중 포헤드방식 및 압축공기 포소화설비에 있어서 하나의 방사구역 안에 설치된 포헤드 를 동시에 개방하여 표준방사량으로 몇 분간 방사할 수 있 는 양 이상으로 하여야 하는가?,10,20,30,60,1
80,폐쇄형간이헤드를 사용하는 설비의 경우로서 1개 층에 하나 의 급수배관(또는 밸브 등)이 담당하는 구역의 최대면적은 몇 m2를 초과하지 아니하여야 하는가?,1000,2000,2500,3000,1
